name,typ,node,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
WARREN_NG_Michigan_Southern,ngcc,bus_402632,68.0,4.6384079008,13.96,3,204.0,4760.0,68.0,4,4
ROCHESTER_NG_Michigan_Southern,ngcc,bus_402632,2.8,4.722233381856098,0.4,3,8.399999999999999,196.0,2.8,4,4
EVANSVILLE_NG_Indiana_92,ngcc,bus_464522,22.2,4.639922461499999,9.1,3,66.6,1554.0,22.2,4,4
MOUNTVERNON_NG_Indiana,ngcc,bus_464522,176.4,5.2568828235,56.65,3,529.2,12348.0,176.4,4,4
NEWBURGH_C_Indiana_93,coal,bus_464522,368.9,11.35431887,97.21,4,1106.6999999999998,25823.0,121.737,12,12
MOUNTVERNON_C_Indiana_94,coal,bus_464522,5.5,8.063284233,0.79,4,16.5,385.0,1.815,12,12
NEOGA_NG_Illinois_Downstate,ngcc,bus_464522,402.5,5.111231244200001,87.85,3,1207.5,28175.0,402.5,4,4
SAINTELMO_NG_Illinois_Downstate,ngcc,bus_464522,71.0,5.200664268,35.11,3,213.0,4970.0,71.0,4,4
MARION_C_Illinois_Downstate,coal,bus_464522,272.0,8.755734804500001,74.48,4,816.0,19040.0,89.76,12,12
CARBONDALE_C_Illinois_Downstate,coal,bus_464522,3.5,8.040012504,1.35,4,10.5,245.0,1.155,12,12
FAIRFIELD_O_Illinois_Downstate,oil,bus_464522,7.5,0.4721112440191388,2.87,8,22.5,525.0,7.5,1,1
BEECHERCITY_NG_Illinois_Downstate,ngcc,bus_464522,702.09,6.952575367333334,176.51,3,2106.27,49146.3,702.09,4,4
FLORA_NG_Illinois_Downstate,ngcc,bus_464522,456.0,5.446530449,147.38,3,1368.0,31920.0,456.0,4,4
REDBUD_O_Illinois_Downstate,oil,bus_464522,7.5,0.0736666666666666,2.3600000000000003,8,22.5,525.0,7.5,1,1
JOPPA_C_Illinois_Downstate,coal,bus_464522,1099.8,11.217667501666666,328.67,4,3299.4,76986.0,362.934,12,12
CARMI_O_Illinois_Downstate,oil,bus_464522,16.8,0.0799166666666666,4.77,8,50.400000000000006,1176.0,16.8,1,1
ALTAMONT_O_Illinois_Downstate,oil,bus_464522,7.2,0.4721112440191388,2.07,8,21.6,504.0,7.2,1,1
MARION_NG_Illinois_Downstate,ngcc,bus_464522,150.0,5.0184486945,36.97,3,450.0,10500.0,150.0,4,4
KINMUNDY_NG_Illinois_Downstate,ngcc,bus_464522,270.0,5.713760269,100.89,3,810.0,18900.0,270.0,4,4
GRANDTOWER_NG_Illinois_Downstate,ngcc,bus_464522,640.88,5.877484358749999,145.27,3,1922.64,44861.6,640.88,4,4
PINCKNEYVILLE_NG_Illinois_Downstate,ngcc,bus_464522,379.98,4.986552176833333,101.3,3,1139.94,26598.6,379.98,4,4
MCLEANSBORO_O_Illinois_Downstate,oil,bus_464522,10.78,0.0391428571428571,3.54,8,32.34,754.5999999999999,10.78,1,1
WATERLOO_NG_Illinois_Downstate,ngcc,bus_464522,13.6,4.607680114,5.05,3,40.8,952.0,13.6,4,4
JACKSON_O_Missouri_East,oil,bus_464522,26.28,0.1163333333333333,5.720000000000001,8,78.84,1839.6,26.28,1,1
LOGANSPORT_C_Indiana,coal,bus_426732,43.0,8.249794420499999,14.61,4,129.0,3010.0,14.19,12,12
CAYUGA_C_Indiana,coal,bus_426732,1062.0,11.85971389,392.76,4,3186.0,74340.0,350.46000000000004,12,12
LAFAYETTE_C_Indiana,coal,bus_426732,7.4,8.061901253,1.97,4,22.200000000000003,518.0,2.442,12,12
LAFAYETTE_O_Indiana,oil,bus_426732,10.6,0.018125,3.52,8,31.8,742.0,10.6,1,1
WESTLAFAYETTE_NG_Indiana,ngcc,bus_426732,41.4,4.6706565415,12.52,3,124.2,2898.0,41.4,4,4
CAYUGA_NG_Indiana,ngcc,bus_426732,804.22,5.469469699142857,194.96,3,2412.66,56295.4,804.22,4,4
LOGANSPORT_NG_Indiana,ngcc,bus_426732,18.0,4.680851064,4.59,3,54.0,1260.0,18.0,4,4
LAFAYETTE_NG_Indiana,ngcc,bus_426732,6.51,4.722233381856098,1.46,3,19.53,455.7,6.51,4,4
CAYUGA_O_Indiana,oil,bus_426732,10.4,0.4721112440191388,3.3,8,31.200000000000003,728.0,10.4,1,1
CRAWFORDSVILLE_C_Indiana,coal,bus_426732,24.1,4.045621395,5.01,4,72.30000000000001,1687.0,7.953000000000001,12,12
TUSCOLA_C_Illinois_Downstate,coal,bus_426732,18.0,5.381831835666667,7.83,4,54.0,1260.0,5.94,12,12
NEOGA_NG_Illinois_Downstate_95,ngcc,bus_426732,80.5,5.225066196,33.88,3,241.5,5635.0,80.5,4,4
TILTON_NG_Illinois_Downstate,ngcc,bus_426732,188.0,4.85936406575,52.79,3,564.0,13160.0,188.0,4,4
SULLIVAN_O_Illinois_Downstate,oil,bus_426732,25.380000000000003,0.1206666666666666,7.2,8,76.14000000000001,1776.6,25.380000000000003,1,1
INDIANAPOLIS_NG_Indiana,ngcc,bus_421712,690.4,5.055754096636363,230.43,3,2071.2,48328.0,690.4,4,4
INDIANAPOLIS_O_Indiana,oil,bus_421712,60.69,0.2030714285714285,13.079999999999998,8,182.07,4248.3,60.69,1,1
NOBLESVILLE_NG_Indiana,ngcc,bus_421712,328.0,5.0148049422,98.01,3,984.0,22960.0,328.0,4,4
DANVILLE_O_Indiana,oil,bus_421712,7.02,0.0276428571428571,1.79,8,21.06,491.4,7.02,1,1
