Bus,Fuel,Max_Cap,Heat_Rate,Min_Cap,var_om,no_load,st_cost,ramp,minup,mindown
bus_112682,oil,406.01,1.7593908278121226,67.76563853107066,8.0,610.2106852047979,14238.249321445284,406.01,1,1
bus_115482,oil,177.29000000000002,0.6411421681989959,21.348343956229904,7.999999999999999,190.61410288228325,4447.662400586609,177.29000000000002,1,1
bus_117762,oil,1709.64,1.2827363927321471,223.9532631431177,7.999999999999998,1809.4930315154056,42221.5040686928,1709.64,1,1
bus_120132,oil,1004.6,3.702427056845312,304.25588692016726,8.0,2856.153971730042,66643.59267370097,1004.6,1,1
bus_137402,oil,153.0,0.2023954248366012,12.07751633986928,8.0,135.078431372549,3151.830065359477,153.0,1,1
bus_137752,oil,71.21000000000001,0.5303453868838647,14.348337312175255,7.999999999999999,131.4672419603988,3067.568979075972,71.21000000000001,1,1
bus_138412,oil,1135.4,3.713918137603459,236.51201514884625,7.999999999999999,2114.319358816276,49334.11837237978,1135.4,1,1
bus_138472,oil,1253.02,4.8445570409821865,94.6434422435396,8.0,1004.9181685846996,23448.090600309653,1253.02,1,1
bus_140332,oil,160.01000000000002,0.3498036685207174,16.31968314480345,7.999999999999999,167.74914255359042,3914.146659583776,160.01000000000002,1,1
bus_145522,oil,32.4,0.43725,7.56,8.0,97.2,2268.0,32.4,1,1
bus_159952,oil,428.28000000000014,1.9387265510833327,100.98,8.0,1284.8400000000004,29979.600000000017,428.28000000000014,1,1
bus_161412,oil,41.8,1.305,15.64,8.0,125.40000000000002,2926.0,41.8,1,1
bus_161562,oil,103.0,0.6199000000000001,34.66,8.0,309.0,7210.0,103.0,1,1
bus_164212,oil,710.35,10.2958849,138.39,8.0,2131.05,49724.5,710.35,1,1
bus_178462,oil,5.1,0.0421666666666666,0.8099999999999999,8.0,15.3,357.0,5.1,1,1
bus_184022,oil,133.8,1.6518187428253606,31.329282511210764,7.999999999999999,364.2946188340807,8500.207772795216,133.8,1,1
bus_187002,oil,97.6,0.4823949795081967,16.514754098360658,8.0,214.8098360655738,5012.229508196721,97.6,1,1
bus_187622,oil,295.98,1.4490833333333333,92.48,8.0,887.94,20718.6,295.98,1,1
bus_188252,oil,978.0,4.944166666666667,336.84,8.0,2934.0,68460.0,978.0,1,1
bus_192502,oil,109.33,0.0504525377140388,12.789176804170856,8.0,142.70038507271565,3329.6756516967,109.33,1,1
bus_193602,oil,1105.68,5.597182526909091,282.65,8.0,3317.04,77397.6,1105.68,1,1
bus_193662,oil,67.0,0.7796202877564179,15.168835820895527,7.999999999999999,130.2035820895522,3038.083582089552,67.0,1,1
bus_195832,oil,882.0,30.3285,422.95,8.0,2646.0,61740.0,882.0,1,1
bus_198262,oil,111.5,0.6005,25.75,8.0,334.5,7805.0,111.5,1,1
bus_198542,oil,20.000000000000004,0.0472775,3.741600000000001,8.0,35.292000000000016,823.4800000000004,20.000000000000004,1,1
bus_201312,oil,47.4,0.0,14.65,8.0,142.2,3317.9999999999995,47.4,1,1
bus_201512,oil,24.800000000000004,0.0076919354838709,3.264032258064516,8.0,41.07096774193548,958.3225806451612,24.800000000000004,1,1
bus_205772,oil,28.5,0.1319166666666666,7.379999999999999,8.0,85.5,1995.0,28.5,1,1
bus_209502,oil,59.60000000000001,0.4529999999999999,13.21,8.0,178.8,4172.000000000001,59.60000000000001,1,1
